name,born,died,url,spotify_id,spotify_related_artist_idsMary Anne à Beckett,1817,1863,https://en.wikipedia.org/wiki/Mary_Anne_%C3%A0_Beckett,,
Richard Addinsell,1904,1977,https://en.wikipedia.org/wiki/Richard_Addinsell,06LiIUiAEMBc6yLMXn2aEV,
John Addison,1765,1844,https://en.wikipedia.org/wiki/John_Addison_(1765%E2%80%931844),0dD5t8KmNIXcf3CrrL3jK1,2530:3257:1897:552:2906:1773
John Addison,1920,1998,https://en.wikipedia.org/wiki/John_Addison,0dD5t8KmNIXcf3CrrL3jK1,2530:3257:1897:552:2906:1773
Vasif Adigezalov,1935,2006,https://en.wikipedia.org/wiki/Vasif_Adigozalov,6Mi75S80fqGXKpdd4fm6iE,
Hugo Adler,1894,1955,https://en.wikipedia.org/wiki/Hugo_Chaim_Adler,5oak1F1G1PzNI0fq47NB13,
Lawrence Cecil Adler,1914,2001,https://en.wikipedia.org/wiki/Larry_Adler,,
Anton Cajetan Adlgasser,1729,1777,https://en.wikipedia.org/wiki/Anton_Cajetan_Adlgasser,5ydMaLEfH3L0i6QdPP7FUr,
Olle Adolphson,1934,2004,https://en.wikipedia.org/wiki/Olle_Adolphson,4hkOyd0eTeViYkZooM4Jay,
Theodor W,1903,1969,https://en.wikipedia.org/wiki/Theodor_W._Adorno,7p0ZzLv0PfhcrLkiNHNxGa,2030:195:296:1291:391:2299:1736:2543:1737:1666:3428
Emmanuel Adriaenssen,1554,1604,https://en.wikipedia.org/wiki/Emmanuel_Adriaenssen,1xuLaOBScupg4QODOlgv9w,1176:679
John Adson,1587,1640,https://en.wikipedia.org/wiki/John_Adson,2ukxLjEeE0D1mxfl2hDl4n,1927:1879:2427:2278:3466:2273:2744
Josina van Aerssen,1733,1797,https://en.wikipedia.org/wiki/Josina_van_Aerssen,,
Nikolay Afanas,1820,1898,https://en.wikipedia.org/wiki/Nikolay_Afanas%27yev,,
Zeca Afonso,1929,1987,https://en.wikipedia.org/wiki/Zeca_Afonso,,
Agostino Agazzari,1578,1640,https://en.wikipedia.org/wiki/Agostino_Agazzari,7EsfhR99758XQkiEBrnfNl,156:2662:873:546:1490:2298:3183:1741:853:1191
Milton Ager,1893,1979,https://en.wikipedia.org/wiki/Milton_Ager,6NFOEym4pgT1e2DkJGxizY,1217:3465
François d,1684,1758,https://en.wikipedia.org/wiki/Fran%C3%A7ois_d%27Agincourt,6yU3DZKqoReWyXC5PWu4lf,
Maria Teresa Agnesi,1720,1795,https://en.wikipedia.org/wiki/Maria_Teresa_Agnesi,6k2RvrM5fhEIco7HVCeKbg,
Lodovico Agostini,1534,1590,https://en.wikipedia.org/wiki/Lodovico_Agostini,0MEnkGXEyVieHEqxAGT1Tz,419:2499:1377:1498:3322
Paolo Agostino,1583,1629,https://en.wikipedia.org/wiki/Paolo_Agostino,,
Johan Agrell,1701,1765,https://en.wikipedia.org/wiki/Johan_Agrell,2P4WZXmfRElYOb22yV1DIW,
Alexander Agricola,1446,1506,https://en.wikipedia.org/wiki/Alexander_Agricola,1YJbYV4Ek4ZzapeuYEwzBE,2061:2555:803:1614:3035:1250:1301:3033:1318:3469:1398:1481:1865:893:159:3303:908
Johann Friedrich Agricola,1720,1774,https://en.wikipedia.org/wiki/Johann_Friedrich_Agricola,1Ip7BTamdS6FuyFYdQqvOm,2043:1646:1076:313:1755:620:2050:3295:314:310:2957:488:318:1252:3328
Martin Agricola,1486,1556,https://en.wikipedia.org/wiki/Martin_Agricola,5tqK7FsJHxqOs1LhbcuuhD,
Dionisio Aguado,1784,1849,https://en.wikipedia.org/wiki/Dionisio_Aguado,15q3kA3H1abSb5saHZuqeN,932:2800
Sebastian Aguilera de Heredia,1561,1627,https://en.wikipedia.org/wiki/Sebastian_Aguilera_de_Heredia,1gmgNW6NQMD9k74teq1Pkx,541:2529:3136:3031:1041:92:989
Eden Ahbez,1908,1995,https://en.wikipedia.org/wiki/Eden_Ahbez,10uwDZEuXM1HzOeDlrybCS,
Johann Georg Ahle,1651,1706,https://en.wikipedia.org/wiki/Johann_Georg_Ahle,,
Johann Rudolph Ahle,1625,1673,https://en.wikipedia.org/wiki/Johann_Rudolph_Ahle,1zx4RQfpKxBZ4OOpHDfFFz,
Countess Maria Theresia Ahlefeldt,1755,1810,https://en.wikipedia.org/wiki/Maria_Theresia_Ahlefeldt,,
Jacob Niclas Ahlström,1805,1857,https://en.wikipedia.org/wiki/Jacob_Niclas_Ahlstr%C3%B6m,,
Ahn Eak,1906,1965,https://en.wikipedia.org/wiki/Ahn_Eak-tai,4znzaONERinpuosMX8VjrP,
Oscar Ahnfelt,1813,1882,https://en.wikipedia.org/wiki/Oscar_Ahnfelt,3fPS4Zd8mD4QGQ6Y6D17Z1,
Gregor Aichinger,1565,1628,https://en.wikipedia.org/wiki/Gregor_Aichinger,0BqezCYj8xslLQ70SmdUPf,3114:985
Karl Stefan Aichelburg,1782,1817,https://en.wikipedia.org/wiki/Karl_Stefan_Aichelburg,,
John Akar,1927,1975,https://en.wikipedia.org/wiki/John_Akar,5HmmRa7kT1oKAQs1BrfV1s,
Doris Akers,1923,1995,https://en.wikipedia.org/wiki/Doris_Akers,3LleNJU7C09daAMHlIrryR,
Necil Kazım Akses,1908,1999,https://en.wikipedia.org/wiki/Necil_Kaz%C4%B1m_Akses,4jPXR1S1Elfv1rRwm7q22L,2264
Yasushi Akutagawa,1925,1989,https://en.wikipedia.org/wiki/Yasushi_Akutagawa,1SgJSMU6IIRy5h5B9X5rLV,2559:2385:2370:735:2318
Jehan Alain,1911,1940,https://en.wikipedia.org/wiki/Jehan_Alain,0AFbebB7EpLm1qzqBRwyWt,1082:1261:2094:1686:1254:2141:3366:3110:695:670:1149:2217
Pierre Alamire,1470,1536,https://en.wikipedia.org/wiki/Pierre_Alamire,5iWCkSVe3thGqWdiBtGgzg,2278:1927:2744:1961:2427:2273:3466:1879
Jean,1815,1888,https://en.wikipedia.org/wiki/Jean-Delphin_Alard,2ipBhKpOYqs6BbysLNGye6,
Isaac Albéniz,1860,1909,https://en.wikipedia.org/wiki/Isaac_Alb%C3%A9niz,4sbcjbyksdT4dJ5Lh0SvZp,1641:1339:2858:1292:975:1389:3216:3161:1143:2149:1267:1659:3061:2946:2216:3071:2029:3163
Mateo Pérez de Albéniz,1755,1831,https://en.wikipedia.org/wiki/Mateo_Alb%C3%A9niz,,
Pedro Albéniz y Basanta,1795,1855,https://en.wikipedia.org/wiki/Pedro_Alb%C3%A9niz,,
Pedro Alberch Vila,1517,1582,https://en.wikipedia.org/wiki/Pere_Alberch_Vila,,
Petur Alberg,1885,1940,https://en.wikipedia.org/wiki/Petur_Alberg,487JihdN8U1oBddfPVZgtX,
Pirro Albergati,1663,1735,https://en.wikipedia.org/wiki/Pirro_Albergati,2uTe6gVlC7QHNm6yPDP4Ru,
Sebastián de Albero,1722,1756,https://en.wikipedia.org/w/index.php?title=Sebasti%C3%A1n_de_Albero&action=edit&redlink=1,0nvdPnvUXIgJJkv6nA02pR,1890:1755:346:2374:2943:2043:2885:2974:3295
Eugen d,1864,1932,https://en.wikipedia.org/wiki/Eugen_d%27Albert,,
Heinrich Albert,1604,1651,https://en.wikipedia.org/wiki/Heinrich_Albert_(composer),1GG4qtEQT4impPTDbW6riE,541:3136:67:3031:1041:989:1605:2529
Stephen Albert,1941,1992,https://en.wikipedia.org/wiki/Stephen_Albert,4b6hua7uCIssoALcxfksS8,914
Domenico Alberti,1710,1740,https://en.wikipedia.org/wiki/Domenico_Alberti,78jQfK6MmBsPZdi6BYVAwJ,852:1847
Gasparo Alberti,1489,1560,https://en.wikipedia.org/wiki/Gasparo_Alberti,,
Giuseppe Matteo Alberti,1685,1751,https://en.wikipedia.org/wiki/Giuseppe_Matteo_Alberti,22svob4gEahBZkW5s52G4C,712:1330:2043:674:3306:2595:2955:1252:2396:620:2322:2147:1327:947:3328:2332:720
Innocentio Alberti,1535,1615,https://en.wikipedia.org/wiki/Innocentio_Alberti,1kucKiU5TbuYnkHoDSaCBI,1520:3148:3286:423:2483:504:1398:2774:2572:1557:1761:2617:1893:3033
Johann Friedrich Alberti,1642,1710,https://en.wikipedia.org/wiki/Johann_Friedrich_Alberti,,
Ignazio Albertini,1644,1685,https://en.wikipedia.org/wiki/Ignazio_Albertini,3RIBKGrGUbNxZGyzhaKVbG,2322:947:2057:1327:2043:827:2387:2677:3297:674:2590:2903:2147:2495:3295:1252:418
Joachim Albertini,1748,1812,https://en.wikipedia.org/wiki/Joachim_Albertini,,
Henrico Albicastro,1660,1730,https://en.wikipedia.org/wiki/Giovanni_Henrico_Albicastro,5T2ZbHCYHXe3B6nC6xYHtk,
Tomaso Albinoni,1671,1751,https://en.wikipedia.org/wiki/Tomaso_Albinoni,17OArJzEhRR3OmhtGcnfBq,3379:1068:2164:1747:316:1720:3328:632:2489:2955:2642:2956:2464:3233
Charles Albrecht,1817,1895,https://en.wikipedia.org/wiki/Charles_Albrecht,1JWirs8uTE7abeEC8UJTTC,
Johann Georg Albrechtsberger,1736,1809,https://en.wikipedia.org/wiki/Johann_Georg_Albrechtsberger,49Aq12YWwKS5hg8pgInIRW,1178:900:3414:1803:1119:310:3370:2866:3516:2488:2508:454:2835:2037:3126:2206:2887
William Albright,1944,1998,https://en.wikipedia.org/wiki/William_Albright_(musician),1xNpB2WuIzhabGLNOTNMkW,1096
Macedonio Alcalá,1831,1869,https://en.wikipedia.org/wiki/Macedonio_Alcal%C3%A1,2kZDfnpzfDRY7ZxPlT92cP,
Luna Alcalay,1928,2012,https://en.wikipedia.org/wiki/Luna_Alcalay,2dnHkLOhZgB8iyZ24aIKmY,
José Bernardo Alcedo,1788,1878,https://en.wikipedia.org/wiki/Jos%C3%A9_Bernardo_Alcedo,5BMdcnYQDu6SMivfqssuxM,
Amancio Jacinto Alcorta,1805,1862,https://en.wikipedia.org/wiki/Amancio_Jacinto_Alcorta,,
Casimiro Alcorta,1840,1913,https://en.wikipedia.org/wiki/Casimiro_Alcorta,,
Henry Aldrich,1647,1710,https://en.wikipedia.org/wiki/Henry_Aldrich,37siSjaDlu6WVUtZpABc9d,
Amanda Ira Aldridge,1866,1956,https://en.wikipedia.org/wiki/Amanda_Christina_Elizabeth_Aldridge,,
Giuseppe Aldrovandini,1671,1707,https://en.wikipedia.org/wiki/Giuseppe_Aldrovandini,0RI6Taokneu8l8AwZ4UvvC,
Vittoria Aleotti,1575,1620,https://en.wikipedia.org/wiki/Vittoria_Aleotti,78rKWPGricLmJNyxMNmgEx,
Leni Alexander,1924,2005,https://en.wikipedia.org/wiki/Leni_Alexander,,
Franco Alfano,1875,1954,https://en.wikipedia.org/wiki/Franco_Alfano,5dqt3SC39E4KU9EZSdPDrP,2698:1007:1251:2586:3493:2682:2409:1545:1806:846:363:976:1575
Alfonso X of Castile,1221,1284,https://en.wikipedia.org/wiki/Alfonso_X_of_Castile,0QU55IdOPz8w9ZKjvCKyxH,
Kenneth J,1881,1945,https://en.wikipedia.org/wiki/Kenneth_J._Alford,2CXTHJX2gbJRf28dW95rDj,
Hugo Alfvén,1872,1960,https://en.wikipedia.org/wiki/Hugo_Alfv%C3%A9n,7oFvKLdVtXPcuZdfrWpcyj,3138:566:2657:277:2776:3187:3071:3092:2967:2003:520:341:1251:2561
Charlotte Alington Barnard,1830,1869,https://en.wikipedia.org/wiki/Charlotte_Alington_Barnard,5dG8jz6hXgUVQvmFAhC7fC,
Francesc Alió,1862,1908,https://en.wikipedia.org/wiki/Francesc_Ali%C3%B3,1WiBgs2MCK1kDrR3KIsGsQ,
Charles,1813,1888,https://en.wikipedia.org/wiki/Charles-Valentin_Alkan,1eYhYunlNJlDoQhtYBvPsi,
Siegfried Alkan,1858,1941,https://en.wikipedia.org/wiki/Siegfried_Alkan,,
Esther Allan,1914,1985,https://en.wikipedia.org/wiki/Esther_Allan,,
Gregorio Allegri,1582,1652,https://en.wikipedia.org/wiki/Gregorio_Allegri,4I47QTluHCo2t2Gj6V7AIG,3341:2950:1491:2464:2597:3204:2103:857:866:1554:2731:2556:3431:1785:2747:3015:1240:1208:1468
Steve Allen,1921,2000,https://en.wikipedia.org/wiki/Steve_Allen,5oM9MmVWGFrIcVyojUVwcJ,
Pedro Humberto Allende,1885,1959,https://en.wikipedia.org/wiki/Pedro_Humberto_Allende,2tZySzWHMjnvsq3m0VAmKF,
Richard Allison,1570,1610,https://en.wikipedia.org/wiki/Richard_Allison_(composer),68lhSuK7sY3Y0a8Dv55bNB,2891:2435:3330:688:921:321
Frances Allitsen,1848,1912,https://en.wikipedia.org/wiki/Frances_Allitsen,,
Francisco António de Almeida,1702,1755,https://en.wikipedia.org/wiki/Francisco_Ant%C3%B3nio_de_Almeida,3AtmOk1lJXMpUth0djfUsx,
João Pedro de Almeida Mota,1744,1817,https://en.wikipedia.org/wiki/Jo%C3%A3o_Pedro_de_Almeida_Mota,,
Laurindo Almeida,1917,1995,https://en.wikipedia.org/wiki/Laurindo_Almeida,5PkDpzWMZR7Id1vldhF8Qk,665:330
Carl Jonas Love Almqvist,1793,1866,https://en.wikipedia.org/wiki/Carl_Jonas_Love_Almqvist,6Z4MzHaJlRMbc5O45HV1I8,
Eyvind Alnæs,1872,1932,https://en.wikipedia.org/wiki/Eyvind_Aln%C3%A6s,6VnXfI2gkxPBAp34vTPhtK,1849:497:1970:215:2296:1768:442:1171:1211:2967:2045:1880:1546:2282
Daniel Alomía Robles,1871,1842,https://en.wikipedia.org/wiki/Daniel_Alom%C3%ADa_Robles,0X6Sdb5rXJiXu6PXUYA7jI,3445:372:3255
Francisco Alonso,1887,1948,https://en.wikipedia.org/wiki/Francisco_Alonso,0re6En1Tq1LLIAAbfhCyv6,805:2714:1500:2344
Yardena Alotin,1930,1994,https://en.wikipedia.org/wiki/Yardena_Alotin,3pzZP4rO3BDancscD2K26l,
Johann Ernst Altenburg,1734,1801,https://en.wikipedia.org/wiki/Johann_Ernst_Altenburg,2bBEHy7WLKYHaPkHjn7Z0F,2998:2706:456:141:3295:3243:1962:3411:2964:801:2043:1402:2374:1327:314
Michael Altenburg,1584,1640,https://en.wikipedia.org/wiki/Michael_Altenburg,0evsazf6PetTHoeJm1SuG4,1075:1065:2949:1443:2471:1962:550:1954:3152:3295
Martha Alter,1904,1976,https://en.wikipedia.org/wiki/Martha_Alter,,
Johann Christoph Altnickol,1720,1759,https://en.wikipedia.org/wiki/Johann_Christoph_Altnickol,09VnZqL6zORVfu5sWpfh1o,
Fermín María Álvarez,1833,1898,https://en.wikipedia.org/wiki/Ferm%C3%ADn_Mar%C3%ADa_%C3%81lvarez,61x847tOYv6YnLxJP9O11I,1155:1674:3107:1579
Antonio Álvarez Alonso,1867,1903,https://en.wikipedia.org/wiki/Antonio_%C3%81lvarez_Alonso,3CXgQd4I6lDAEpv4LqIEkP,
Elias Parish Alvars,1808,1849,https://en.wikipedia.org/wiki/Elias_Parish_Alvars,6lBSlnffPwRJzi9zl1mPV6,
Berta Alves de Sousa,1906,1997,https://en.wikipedia.org/wiki/Berta_Alves_de_Sousa,,
William Alwyn,1905,1985,https://en.wikipedia.org/wiki/William_Alwyn,33yO64zQ3GSPwEC6ok4BDP,535:2786:621:766:437:1726:3008:1018:1448:1862:1545:1303:363:3019:3291:3418:2989:264
Alexander Alyabyev,1787,1851,https://en.wikipedia.org/wiki/Alexander_Alyabyev,0YVUvbmFDA7BN81dDht4xQ,
Filippo Amadei,1665,1725,https://en.wikipedia.org/wiki/Filippo_Amadei,5foQWCB6pdl057d2W6tF2w,
Amalia Catharina,1640,1697,https://en.wikipedia.org/wiki/Amalia_Catharina,,
Amalie,1794,1870,https://en.wikipedia.org/wiki/Princess_Amalie_of_Saxony,1GSLaiHnTuVn1eFTpimzwv,
Miguel de Ambiela,1655,1733,https://en.wikipedia.org/wiki/Miguel_de_Ambiela,4Ee3itqRuXFwmekHXCxAqy,
August Wilhelm Ambros,1816,1876,https://en.wikipedia.org/wiki/August_Wilhelm_Ambros,,
Bjarne Amdahl,1903,1968,https://en.wikipedia.org/wiki/Bjarne_Amdahl,7ikCEi2CxwnZud80uTf4KY,
René Amengual,1911,1954,https://en.wikipedia.org/wiki/Ren%C3%A9_Amengual,,
Emanuel Amiran,1909,1993,https://en.wikipedia.org/wiki/Emanuel_Amiran-Pougatchov,1aSBEAp3cjetVGFBiLqA9y,
Elias Nikolaus Ammerbach,1530,1597,https://en.wikipedia.org/wiki/Elias_Ammerbach,5Kkf8nnW2rVJIZiCOePFxC,56:985:1983:2662:853:546:2706:2632:3183:2298:2744:138
