name|born|died|url|era
Giuseppe Sarti|1729|1802|https://en.wikipedia.org/wiki/Giuseppe_Sarti|Classical-era
Antonio Sartorio|1630|1680|https://en.wikipedia.org/wiki/Antonio_Sartorio|Baroque
Erik Satie|1866|1925|https://en.wikipedia.org/wiki/Erik_Satie|Romantic-era
Emil von Sauer|1862|1942|https://en.wikipedia.org/wiki/Emil_von_Sauer|Romantic-era
Henri Sauguet|1901|1989|https://en.wikipedia.org/wiki/Henri_Sauguet|Unknown
Ahmed Adnan Saygun|1907|1991|https://en.wikipedia.org/wiki/Ahmed_Adnan_Saygun|Unknown
Marco Scacchi|1681|1687|https://en.wikipedia.org/wiki/Marco_Scacchi|Baroque
Alessandro Scarlatti|1660|1725|https://en.wikipedia.org/wiki/Alessandro_Scarlatti|Baroque
Domenico Scarlatti|1685|1757|https://en.wikipedia.org/wiki/Domenico_Scarlatti|Baroque-Classical
Francesco Scarlatti|1666|1741|https://en.wikipedia.org/wiki/Francesco_Scarlatti|Baroque
Giuseppe Scarlatti|1723|1777|https://en.wikipedia.org/wiki/Giuseppe_Scarlatti|Classical-era
Pietro Filippo Scarlatti|1679|1750|https://en.wikipedia.org/wiki/Pietro_Filippo_Scarlatti|Baroque
Giacinto Scelsi|1905|1988|https://en.wikipedia.org/wiki/Giacinto_Scelsi|Unknown
Theodor von Schacht|1748|1823|https://en.wikipedia.org/wiki/Theodor_von_Schacht|Classical-era
Benedikt Schack|1758|1826|https://en.wikipedia.org/wiki/Benedikt_Schack|Classical-era
Pierre Schaeffer|1910|1995|https://en.wikipedia.org/wiki/Pierre_Schaeffer|Unknown
Christoph Schaffrath|1709|1763|https://en.wikipedia.org/wiki/Christoph_Schaffrath|Baroque-Classical
Walter Scharf|1910|2003|https://en.wikipedia.org/wiki/Walter_Scharf|Unknown
Philipp Scharwenka|1847|1917|https://en.wikipedia.org/wiki/Philipp_Scharwenka|Romantic-era
Xaver Scharwenka|1850|1924|https://en.wikipedia.org/wiki/Xaver_Scharwenka|Romantic-era
Peter Schat|1935|2003|https://en.wikipedia.org/wiki/Peter_Schat|Unknown
Johann Adolph Scheibe|1708|1776|https://en.wikipedia.org/wiki/Johann_Adolph_Scheibe|Baroque-Classical
Heinrich Scheidemann|1595|1663|https://en.wikipedia.org/wiki/Heinrich_Scheidemann|Renaissance-Baroque
Gottfried Scheidt|1593|1661|https://en.wikipedia.org/wiki/Gottfried_Scheidt|Renaissance-Baroque
Samuel Scheidt|1587|1654|https://en.wikipedia.org/wiki/Samuel_Scheidt|Renaissance-Baroque
Johann Schein|1586|1630|https://en.wikipedia.org/wiki/Johann_Schein|Renaissance-Baroque
Johann Schelle|1648|1701|https://en.wikipedia.org/wiki/Johann_Schelle|Baroque
Johannes Schenck|1660|1712|https://en.wikipedia.org/wiki/Johannes_Schenck|Baroque
Johann Baptist Schenk|1753|1836|https://en.wikipedia.org/wiki/Johann_Baptist_Schenk|Classical-era
Heinrich Schenker|1868|1935|https://en.wikipedia.org/wiki/Heinrich_Schenker|Unknown
Martin Scherber|1907|1974|https://en.wikipedia.org/wiki/Martin_Scherber|Unknown
Sebastian Anton Scherer|1631|1712|https://en.wikipedia.org/wiki/Sebastian_Anton_Scherer|Baroque
Melchior Schildt|1593|1667|https://en.wikipedia.org/wiki/Melchior_Schildt|Renaissance-Baroque
Max von Schillings|1868|1933|https://en.wikipedia.org/wiki/Max_von_Schillings|Unknown
Poul Christian Schindler|1648|1740|https://en.wikipedia.org/wiki/Poul_Christian_Schindler|Baroque
Arnolt Schlick|1460|1521|https://en.wikipedia.org/wiki/Arnolt_Schlick|Renaissance
Paul de Schlözer|1842|1898|https://en.wikipedia.org/wiki/Paul_de_Schl%C3%B6zer|Unknown
Johann Heinrich Schmelzer|1620|1680|https://en.wikipedia.org/wiki/Johann_Heinrich_Schmelzer|Baroque
Ludwig Schmidseder|1904|1971|https://en.wikipedia.org/wiki/Ludwig_Schmidseder|Unknown
Franz Schmidt|1874|1939|https://en.wikipedia.org/wiki/Franz_Schmidt|Romantic-era
Aloys Schmitt|1788|1866|https://en.wikipedia.org/wiki/Aloys_Schmitt|Unknown
Florent Schmitt|1870|1958|https://en.wikipedia.org/wiki/Florent_Schmitt|Romantic-era
Joseph Schmitt|1734|1791|https://en.wikipedia.org/wiki/Joseph_Schmitt|Unknown
Artur Schnabel|1882|1951|https://en.wikipedia.org/wiki/Artur_Schnabel|Unknown
Alfred Schnittke|1934|1998|https://en.wikipedia.org/wiki/Alfred_Schnittke|Unknown
Johann Schobert|1735|1767|https://en.wikipedia.org/wiki/Johann_Schobert|Classical-era
Othmar Schoeck|1886|1957|https://en.wikipedia.org/wiki/Othmar_Schoeck|Unknown
Arnold Schoenberg|1874|1951|https://en.wikipedia.org/wiki/Arnold_Schoenberg|Romantic-era
Bernhard Scholz|1835|1916|https://en.wikipedia.org/wiki/Bernhard_Scholz|Unknown
Philippus Schoendorff|1558|1617|https://en.wikipedia.org/wiki/Philipp_Sch%C3%B6ndorff|Unknown
Johann Schop|1590|1667|https://en.wikipedia.org/wiki/Johann_Schop|Renaissance-Baroque
Carl Siegemund Schönebeck|1758|1806|https://en.wikipedia.org/wiki/Carl_Siegemund_Sch%C3%B6nebeck|Classical-era
Franz Schreker|1878|1934|https://en.wikipedia.org/wiki/Franz_Schreker|Romantic-era
Friedrich Schröder|1910|1972|https://en.wikipedia.org/wiki/Friedrich_Schr%C3%B6der|Unknown
Corona Schröter|1751|1802|https://en.wikipedia.org/wiki/Corona_Schr%C3%B6ter|Classical-era
Franz Schubert|1797|1828|https://en.wikipedia.org/wiki/Franz_Schubert|Classical-Romantic
Erwin Schulhoff|1894|1942|https://en.wikipedia.org/wiki/Erwin_Schulhoff|Unknown
Julius Schulhoff|1825|1898|https://en.wikipedia.org/wiki/Julius_Schulhoff|Unknown
Johannes Schultz|1582|1653|https://en.wikipedia.org/wiki/Johannes_Schultz_(composer)|Unknown
Johann Abraham Peter Schulz|1747|1800|https://en.wikipedia.org/wiki/Johann_Abraham_Peter_Schulz|Classical-era
William Schuman|1910|1992|https://en.wikipedia.org/wiki/William_Schuman|Unknown
Clara Schumann|1819|1896|https://en.wikipedia.org/wiki/Clara_Schumann|Romantic-era
Robert Schumann|1810|1856|https://en.wikipedia.org/wiki/Robert_Schumann|Romantic-era
Ludwig Schuncke|1810|1834|https://en.wikipedia.org/wiki/Ludwig_Schuncke|Romantic-era
Georg Caspar Schürmann|1673|1751|https://en.wikipedia.org/wiki/Georg_Caspar_Sch%C3%BCrmann|Baroque-Classical
Joseph Schuster|1748|1812|https://en.wikipedia.org/wiki/Joseph_Schuster_(composer)|Unknown
Eduard Schütt|1856|1933|https://en.wikipedia.org/wiki/Eduard_Sch%C3%BCtt|Unknown
Heinrich Schütz|1585|1672|https://en.wikipedia.org/wiki/Heinrich_Sch%C3%BCtz|Renaissance-Baroque
Anton Schweitzer|1735|1787|https://en.wikipedia.org/wiki/Anton_Schweitzer|Classical-era
Heinrich Schwemmer|1621|1696|https://en.wikipedia.org/wiki/Heinrich_Schwemmer|Baroque
Antonio Scontrino|1850|1922|https://en.wikipedia.org/wiki/Antonio_Scontrino|Unknown
Cyril Scott|1879|1970|https://en.wikipedia.org/wiki/Cyril_Scott|Romantic-era
Alexander Scriabin|1872|1915|https://en.wikipedia.org/wiki/Alexander_Scriabin|Romantic-era
Peter Sculthorpe|1929|2014|https://en.wikipedia.org/wiki/Peter_Sculthorpe|Unknown
Humphrey Searle|1915|1982|https://en.wikipedia.org/wiki/Humphrey_Searle|Unknown
Simon Sechter|1788|1867|https://en.wikipedia.org/wiki/Simon_Sechter|Classical-Romantic
Sholom Secunda|1894|1974|https://en.wikipedia.org/wiki/Sholom_Secunda|Unknown
Seedo|1700|1754|https://en.wikipedia.org/wiki/Seedo|Unknown
Josef Seger|1716|1782|https://en.wikipedia.org/wiki/Josef_Seger|Baroque-Classical
Fritz Seitz|1848|1918|https://en.wikipedia.org/wiki/Fritz_Seitz|Unknown
Carlos Seixas|1704|1742|https://en.wikipedia.org/wiki/Carlos_Seixas|Baroque
Bernhard Sekles|1872|1934|https://en.wikipedia.org/wiki/Bernhard_Sekles|Unknown
Thomas Selle|1599|1663|https://en.wikipedia.org/wiki/Thomas_Selle|Renaissance-Baroque
Bartolomé de Selma y Salaverde|1595|1638|https://en.wikipedia.org/wiki/Bartolom%C3%A9_de_Selma_y_Salaverde|Baroque
Jean Baptiste Senaillé|1687|1730|https://en.wikipedia.org/wiki/Jean_Baptiste_Senaill%C3%A9|Baroque
Ludwig Senfl|1486|1543|https://en.wikipedia.org/wiki/Ludwig_Senfl|Renaissance
Jacob Senleches|1383|1395|https://en.wikipedia.org/wiki/Jacob_Senleches|url-Medieval
Claudin de Sermisy|1490|1562|https://en.wikipedia.org/wiki/Claudin_de_Sermisy|Renaissance
Kazimierz Serocki|1922|1981|https://en.wikipedia.org/wiki/Kazimierz_Serocki|Unknown
Alexander Serov|1820|1871|https://en.wikipedia.org/wiki/Alexander_Serov|Unknown
José Serrano|1873|1941|https://en.wikipedia.org/wiki/Jos%C3%A9_Serrano_(composer)|Unknown
Paolo Serrao|1830|1907|https://en.wikipedia.org/wiki/Paolo_Serrao|Unknown
John Serry|1915|2003|https://en.wikipedia.org/wiki/John_Serry,_Sr.|Unknown
Adrien|1807|1866|https://en.wikipedia.org/wiki/Adrien-Fran%C3%A7ois_Servais|Unknown
Esteban Servellón|1921|2003|https://en.wikipedia.org/wiki/Esteban_Servell%C3%B3n|Unknown
Claudia Sessa|1617|1619|https://en.wikipedia.org/wiki/Claudia_Sessa|Renaissance-Baroque
Roger Sessions|1896|1985|https://en.wikipedia.org/wiki/Roger_Sessions|Unknown
Ignaz von Seyfried|1776|1841|https://en.wikipedia.org/wiki/Ignaz_von_Seyfried|Classical-Romantic
John Laurence Seymour|1893|1986|https://en.wikipedia.org/wiki/John_Laurence_Seymour|Unknown
Giovanni Sgambati|1841|1914|https://en.wikipedia.org/wiki/Giovanni_Sgambati|Romantic-era
Ravi Shankar|1920|2012|https://en.wikipedia.org/wiki/Ravi_Shankar|Unknown
Ralph Shapey|1921|2002|https://en.wikipedia.org/wiki/Ralph_Shapey|Unknown
Christopher Shaw|1925|1995|https://en.wikipedia.org/wiki/Christopher_Shaw_(composer)|Unknown
Vissarion Shebalin|1902|1963|https://en.wikipedia.org/wiki/Vissarion_Shebalin|Unknown
Arthur Shepherd|1880|1958|https://en.wikipedia.org/wiki/Arthur_Shepherd|Unknown
John Sheppard|1515|1558|https://en.wikipedia.org/wiki/John_Sheppard_(composer)|Unknown
Gordon Sherwood|1929|2013|https://en.wikipedia.org/wiki/Gordon_Sherwood|Unknown
William Shield|1748|1829|https://en.wikipedia.org/wiki/William_Shield|Classical-era
Seymour Shifrin|1926|1979|https://en.wikipedia.org/wiki/Seymour_Shifrin|Unknown
Gregory Short|1938|1999|https://en.wikipedia.org/wiki/Gregory_Short|Unknown
Dmitri Shostakovich|1906|1975|https://en.wikipedia.org/wiki/Dmitri_Shostakovich|Unknown
Alan Shulman|1915|2002|https://en.wikipedia.org/wiki/Alan_Shulman|Unknown
Obadiah Shuttleworth|1675|1734|https://en.wikipedia.org/wiki/Obadiah_Shuttleworth|Baroque
Jean Sibelius|1865|1957|https://en.wikipedia.org/wiki/Jean_Sibelius|Romantic-era
Paul Siefert|1586|1666|https://en.wikipedia.org/wiki/Paul_Siefert|Renaissance-Baroque
Elie Siegmeister|1909|1991|https://en.wikipedia.org/wiki/Elie_Siegmeister|Unknown
Albert Siklós|1878|1942|https://en.wikipedia.org/wiki/Albert_Sikl%C3%B3s|Unknown
William Simmes|1575|1625|https://en.wikipedia.org/wiki/William_Simmes|Renaissance-Baroque
Achille Simonetti|1857|1928|https://en.wikipedia.org/wiki/Achille_Simonetti|Unknown
Rudolph Simonsen|1889|1947|https://en.wikipedia.org/wiki/Rudolph_Simonsen|Unknown
Christopher Simpson|1606|1669|https://en.wikipedia.org/wiki/Christopher_Simpson|Renaissance-Baroque
Robert Simpson|1921|1997|https://en.wikipedia.org/wiki/Robert_Simpson_(composer)|Unknown
Thomas Simpson|1582|1628|https://en.wikipedia.org/wiki/Thomas_Simpson|Unknown
Christian Sinding|1856|1941|https://en.wikipedia.org/wiki/Christian_Sinding|Romantic-era
Jean|1812|1875|https://en.wikipedia.org/wiki/Jean-Baptiste_Singel%C3%A9e|Unknown
Leone Sinigaglia|1868|1944|https://en.wikipedia.org/wiki/Leone_Sinigaglia|Unknown
Giuseppe Sinopoli|1946|2001|https://en.wikipedia.org/wiki/Giuseppe_Sinopoli|Unknown
Nicolas Siret|1663|1754|https://en.wikipedia.org/wiki/Nicolas_Siret|Baroque-Classical
Maddalena Laura Sirmen|1745|1818|https://en.wikipedia.org/wiki/Maddalena_Laura_Sirmen|Classical-era
Todor Skalovski|1909|2004|https://en.wikipedia.org/wiki/Todor_Skalovski|Unknown
František Škroup|1801|1862|https://en.wikipedia.org/wiki/Franti%C5%A1ek_%C5%A0kroup|Unknown
Jan Nepomuk Škroup|1811|1892|https://en.wikipedia.org/wiki/Jan_Nepomuk_%C5%A0kroup|Unknown
Nicolas Slonimsky|1894|1995|https://en.wikipedia.org/wiki/Nicolas_Slonimsky|Unknown
Antonio Smareglia|1854|1929|https://en.wikipedia.org/wiki/Antonio_Smareglia|Unknown
Bedřich Smetana|1824|1884|https://en.wikipedia.org/wiki/Bed%C5%99ich_Smetana|Romantic-era
Leo Smit|1900|1943|https://en.wikipedia.org/wiki/Leo_Smit_(Dutch_composer)|Unknown
Leo Smit|1921|1999|https://en.wikipedia.org/wiki/Leo_Smit_(American_composer)|Unknown
Alice Mary Smith|1839|1884|https://en.wikipedia.org/wiki/Alice_Mary_Smith|Unknown
John Christopher Smith|1712|1795|https://en.wikipedia.org/wiki/John_Christopher_Smith|Baroque-Classical
John Stafford Smith|1750|1836|https://en.wikipedia.org/wiki/John_Stafford_Smith|Classical-era
Julia Smith|1911|1989|https://en.wikipedia.org/wiki/Julia_Smith_(composer)|Unknown
Sydney Smith|1839|1889|https://en.wikipedia.org/wiki/Sydney_Smith_(composer)|Unknown
William Smith|1603|1645|https://en.wikipedia.org/wiki/William_Smith_(composer)|Unknown
Ethel Smyth|1858|1944|https://en.wikipedia.org/wiki/Ethel_Smyth|Unknown
August Söderman|1832|1876|https://en.wikipedia.org/wiki/August_S%C3%B6derman|Romantic-era
Nikolay Sokolov|1859|1922|https://en.wikipedia.org/wiki/Nikolay_Sokolov_(composer)|Unknown
Mikhail Sokolovsky|1756|1795|https://en.wikipedia.org/wiki/Mikhail_Sokolovsky_(composer)|Unknown
Antonio Soler|1729|1783|https://en.wikipedia.org/wiki/Antonio_Soler|Baroque-Classical
Temistocle Solera|1815|1878|https://en.wikipedia.org/wiki/Temistocle_Solera|Unknown
Jean|1755|1812|https://en.wikipedia.org/wiki/Jean-Pierre_Soli%C3%A9|Unknown
Carlo Soliva|1791|1853|https://en.wikipedia.org/wiki/Carlo_Evasio_Soliva|Unknown
Edward Solomon|1855|1895|https://en.wikipedia.org/wiki/Edward_Solomon|Unknown
Harry Somers|1925|1999|https://en.wikipedia.org/wiki/Harry_Somers|Unknown
Arthur Somervell|1863|1937|https://en.wikipedia.org/wiki/Arthur_Somervell|Unknown
Giovanni Battista Somis|1686|1763|https://en.wikipedia.org/wiki/Giovanni_Battista_Somis|Baroque-Classical
Fernando Sor|1778|1839|https://en.wikipedia.org/wiki/Fernando_Sor|Classical-Romantic
Kaikhosru Shapurji Sorabji|1892|1988|https://en.wikipedia.org/wiki/Kaikhosru_Shapurji_Sorabji|Unknown
Francesco Soriano|1548|1621|https://en.wikipedia.org/wiki/Francesco_Soriano|Renaissance-Baroque
Luka Sorkočević|1734|1789|https://en.wikipedia.org/wiki/Luka_Sorko%C4%8Devi%C4%87|Classical-era
Pablo Sorozábal|1897|1988|https://en.wikipedia.org/wiki/Pablo_Soroz%C3%A1bal|Unknown
André Souris|1899|1970|https://en.wikipedia.org/wiki/Andr%C3%A9_Souris|Unknown
John Philip Sousa|1854|1932|https://en.wikipedia.org/wiki/John_Philip_Sousa|Romantic-era
Leo Sowerby|1895|1968|https://en.wikipedia.org/wiki/Leo_Sowerby|Unknown
Johannes Spech|1767|1836|https://en.wikipedia.org/wiki/Johannes_Spech|Classical-era
Alexander Spendiaryan|1871|1928|https://en.wikipedia.org/wiki/Alexander_Spendiaryan|Unknown
Johannes Matthias Sperger|1750|1812|https://en.wikipedia.org/wiki/Johannes_Matthias_Sperger|Classical-era
Johann Speth|1664|1719|https://en.wikipedia.org/wiki/Johann_Speth|Baroque
Leo Spies|1899|1965|https://en.wikipedia.org/wiki/Leo_Spies|Unknown
Louis Spohr|1784|1859|https://en.wikipedia.org/wiki/Louis_Spohr|Classical-Romantic
Gaspare Spontini|1774|1851|https://en.wikipedia.org/wiki/Gaspare_Spontini|Classical-Romantic
Pieter van der Staak|1930|2007|https://en.wikipedia.org/wiki/Pieter_van_der_Staak|Unknown
Annibale Stabile|1535|1595|https://en.wikipedia.org/wiki/Annibale_Stabile|Renaissance
Johann Staden|1581|1634|https://en.wikipedia.org/wiki/Johann_Staden|Renaissance-Baroque
Sigmund Theophil Staden|1607|1655|https://en.wikipedia.org/wiki/Sigmund_Theophil_Staden|Baroque
John Stainer|1840|1901|https://en.wikipedia.org/wiki/John_Stainer|Romantic-era
Camille|1811|1870|https://en.wikipedia.org/wiki/Camille-Marie_Stamaty|Unknown
Anton Stamitz|1798|1809|https://en.wikipedia.org/wiki/Anton_Stamitz|Classical-era
Carl Stamitz|1745|1801|https://en.wikipedia.org/wiki/Carl_Stamitz|Classical-era
Johann Stamitz|1717|1757|https://en.wikipedia.org/wiki/Johann_Stamitz|Baroque-Classical
Charles Villiers Stanford|1852|1924|https://en.wikipedia.org/wiki/Charles_Villiers_Stanford|Romantic-era
John Stanley|1712|1786|https://en.wikipedia.org/wiki/John_Stanley_(composer)|Unknown
Robert Starer|1924|2001|https://en.wikipedia.org/wiki/Robert_Starer|Unknown
Joseph Starzer|1726|1787|https://en.wikipedia.org/wiki/Josef_Starzer|Unknown
Roman Statkowski|1859|1925|https://en.wikipedia.org/wiki/Roman_Statkowski|Unknown
Maria Fredrica von Stedingk|1799|1868|https://en.wikipedia.org/wiki/Maria_Fredrica_von_Stedingk|Classical-Romantic
Christopher Steel|1938|1991|https://en.wikipedia.org/wiki/Christopher_Steel|Unknown
Agostino Steffani|1653|1728|https://en.wikipedia.org/wiki/Agostino_Steffani|Baroque
Daniel Steibelt|1765|1823|https://en.wikipedia.org/wiki/Daniel_Steibelt|Classical-era
Johann Ulrich Steigleder|1593|1635|https://en.wikipedia.org/wiki/Johann_Ulrich_Steigleder|Renaissance-Baroque
Max Steiner|1888|1971|https://en.wikipedia.org/wiki/Max_Steiner|Unknown
Wilhelm Stenhammar|1871|1927|https://en.wikipedia.org/wiki/Wilhelm_Stenhammar|Romantic-era
Rudi Stephan|1887|1915|https://en.wikipedia.org/wiki/Rudi_Stephan|Unknown
George Stephănescu|1843|1925|https://en.wikipedia.org/wiki/George_Steph%C4%83nescu|Unknown
Johann Franz Xaver Sterkel|1750|1817|https://en.wikipedia.org/wiki/Johann_Franz_Xaver_Sterkel|Classical-era
Daniel Sternefeld|1905|1986|https://en.wikipedia.org/wiki/Daniel_Sternefeld|Unknown
Bernard Stevens|1916|1983|https://en.wikipedia.org/wiki/Bernard_Stevens|Unknown
William Grant Still|1895|1978|https://en.wikipedia.org/wiki/William_Grant_Still|Unknown
Karlheinz Stockhausen|1928|2007|https://en.wikipedia.org/wiki/Karlheinz_Stockhausen|Unknown
Robert Stoepel|1821|1887|https://en.wikipedia.org/wiki/Robert_Stoepel|Unknown
Petar Stojanović|1877|1957|https://en.wikipedia.org/wiki/Petar_Stojanovi%C4%87_(composer)|Unknown
